num,Ticker
844,OCFT
845,DQ
846,CUZ
847,M
848,ASH
849,ASR
850,QTWO
851,SBS
852,SRC
853,TDC
854,CCIV.U
855,DV
856,CW
857,NVT
858,LAZ
859,SWI
860,TNET
861,NEP
862,MSM
863,SEM
864,FLO
865,AYX
866,DCP
867,INSP
868,LDI
869,IDA
870,PSTG
871,WCC
872,RYN
873,EQT
874,SAIC
875,ENIC
876,KMPR
877,ELC
878,SLG
879,NOMD
880,RLI
881,CIT
882,CLH
883,STL
884,PK
885,COUR
886,SSD
887,THG
888,COR
889,GTES
890,WBS
891,MP
892,STN
893,FCN
894,VZIO
895,AWI
896,CCIV
897,FSLY
898,AVNT
899,ALSN
900,AXS
901,NRZ
902,AUY
903,MTG
904,CRI
905,PSTH
906,PAC
907,HE
908,UA
909,PRSP
910,SLQT
911,R
912,LMND
913,NFG
914,XRX
915,SPR
916,ASAN
917,BXMT
918,HIW
919,MPLN
920,HLI
921,BB
922,SNDR
923,AB
924,ADNT
925,BKU
926,SPCE
927,JBT
928,GRA
929,NEA
930,ZIM
931,WTS
932,HXL
933,POR
934,BIGZ
935,KBH
936,ZH
937,GOOS
938,ADC
939,BHVN
940,APAM
941,DOCN
942,DAVA
943,OSCR
944,SHAK
945,TGNA
946,BAC PR L
947,RDN
948,ASAI
949,NAV
950,HR
951,TRNO
952,CBU
953,MSGS
954,AM
955,QTS
956,PSN
957,SWCH
958,PSB
959,FNB
960,IIPR
961,REZI
962,WK
963,BKH
964,PNM
965,JBGS
966,SGFY
967,MTH
968,KWR
969,UNF
970,HRB
971,SAIL
972,APG
973,MDC
974,SEAS
975,WWE
976,UGP
977,ATC
978,AMN
979,RHP
980,OGS
981,CNMD
982,NJR
983,UNVR
984,WRI
985,MDLA
986,HPP
987,IBP
988,ATKR
989,SWX
990,AMC
991,ABG
992,CWK
993,GRP.U
994,KEX
995,AIT
996,TMHC
997,ARNC
998,CWH
999,TKC
1000,SR
1001,HUYA
1002,ORA
1003,BCO
1004,DOC
1005,HL
1006,SPB
1007,AGO
1008,CMC
1009,MSP
1010,KTB
1011,ENV
1012,PFSI
1013,BE
1014,BOH
1015,ENS
1016,GKOS
1017,TRQ
1018,NEU
1019,GOLF
1020,OLO
1021,DAN
1022,AJRD
1023,WTM
1024,NEWR
1025,WOR
1026,TEX
1027,SAFE
1028,SIX
1029,HASI
1030,MCY
1031,RVLV
1032,CMD
1033,NVG
1034,MUSA
1035,HGV
1036,PRG
1037,FTI
1038,KFY
1039,LCII
1040,ALE
1041,CPA
1042,TROX
1043,EPR
1044,SUM
1045,CNO
1046,FUL
1047,GATX
1048,IGT
1049,WWW
1050,ROG
1051,SXT
1052,CBT
1053,ETRN
1054,AG
1055,CUK
1056,CCU
1057,TRTN
1058,ASB
1059,CLDR
1060,MC
1061,WNS
1062,FSKR
1063,HI
1064,OUT
1065,NOVA
1066,ABM
1067,KMT
1068,APLE
1069,EAF
1070,VSH
1071,CNNE
1072,CIXX
1073,PCI
1074,ATCO
1075,NGVT
1076,NSA
1077,FLR
1078,ENBL
1079,AQUA
1080,CWEN
1081,SIG
1082,CIB
1083,AGI
1084,LXP
1085,SAVE
1086,CNS
1087,ENR
1088,NSP
1089,EQC
1090,CLNY
1091,FSR
1092,BOX
1093,BAK
1094,SOGO
1095,MTDR
1096,HRI
1097,NAD
1098,AVA
1099,EBS
1100,BIPC
1101,GHC
1102,AMWL
1103,BRFS
1104,NHI
1105,BXS
1106,RAMP
1107,TRN
1108,BIO.B
1109,GENI
1110,WD
1111,USM
1112,FHI
1113,FN
1114,GPI
1115,DNP
1116,SWN
1117,AR
1118,EGHT
1119,DOOR
1120,ATI
1121,FIX
1122,ONTO
1123,MED
1124,ACA
1125,PD
1126,OFC
1127,HAE
1128,WBT
1129,LEN.B
1130,CIM
1131,ITGR
1132,SCL
1133,SITC
1134,SSTK
1135,EVTC
1136,HP
1137,PEB
1138,MIC
1139,BMEZ
1140,EPRT
1141,CNX
1142,AEL
1143,JELD
1144,SUN
1145,HMY
1146,CTB
1147,TPH
1148,AWR
1149,HTH
1150,EXG
1151,FLOW
1152,CWT
1153,CGAU
1154,BNL
1155,NNI
1156,AIN
1157,NUS
1158,CALX
1159,MGY
1160,DY
1161,EAT
1162,RRC
1163,JW.A
1164,YALA
1165,BRC
1166,MATX
1167,IFS
1168,CADE
1169,ESE
1170,TARO
1171,FBP
1172,DAO
1173,YELP
1174,OI
1175,SJI
1176,ZNH
1177,DM
1178,DEN
1179,MUR
1180,KW
1181,MAIN
1182,DHR PR A
1183,BSTZ
1184,SPXC
1185,WGO
1186,PRLB
1187,MTX
1188,RSI
1189,BCC
1190,BUR
1191,FUN
1192,SBH
1193,AX
1194,ALLY PR A
1195,UTF
1196,JOE
1197,THS
1198,MLI
1199,B
1200,NOAH
1201,MANU
1202,SHO
1203,BMI
1204,TDS
1205,PRMW
1206,TSE
1207,BSBR
1208,FSS
1209,TAC
1210,FSK
1211,MXL
1212,PJT
1213,MOG.A
1214,VNE
1215,CCS
1216,WHD
1217,RPAI
1218,CTOS
1219,MAC
1220,RLJ
1221,AMRC
1222,UTZ
1223,SEMR
1224,OMI
1225,LTHM
1226,ANF
1227,CIG
1228,BVN
1229,KOF
1230,SKY
1231,C PR N
1232,HOME
1233,BIG
1234,DHR PR B
1235,NEE PR P
1236,UFS
1237,FBC
1238,CNK
1239,BALY
1240,GDOT
1241,SI
1242,ACH
1243,ETWO
1244,PHR
1245,FUBO
1246,NUVB
1247,CSTM
1248,FTAI
1249,NZF
1250,CMP
1251,CUB
1252,EPC
1253,NUV
1254,MYTE
1255,LBRT
1256,MWA
1257,BDN
1258,PBH
1259,AZUL
1260,PGRE
1261,GDV
1262,JMIA
1263,DDS
1264,MD
1265,ABR
1266,BFLY
1267,PDM
1268,DDD
1269,MAX
1270,BDC
1271,CPG
1272,HBM
1273,CEA
1274,BKE
1275,MFGP
1276,IBA
1277,ENLC
1278,CDE
1279,CVI
1280,NAC
1281,VVNT
1282,CEQP
1283,RIG
1284,OR
1285,UE
1286,ERJ
1287,AVYA
1288,MAXR
1289,BSM
1290,PIPR
1291,HEP
1292,SAH
1293,PTY
1294,GNW
1295,PVG
1296,ARI
1297,VGR
1298,RCUS
1299,ADX
1300,XHR
1301,BOOT
1302,USNA
1303,FCPT
1304,AAT
1305,BCAT
1306,MSGE
1307,KAI
1308,MHO
1309,CPK
1310,KAR
1311,RLGY
1312,CXP
1313,INT
1314,EVT
1315,DRH
1316,AVNS
1317,JPM PR C
1318,ETY
1319,UNFI
1320,LZB
1321,HTGC
1322,KRO
1323,CVA
1324,EVA
1325,ESRT
1326,JPS
1327,AEVA
1328,FBK
1329,VSTO
1330,NAPA
1331,NS
1332,PING
1333,NTB
1334,EGO
1335,SM
1336,CRC
1337,PQG
1338,EBR.B
1339,GB
1340,AVTR PR A
1341,GSBD
1342,AVAL
1343,WRE
1344,CRS
1345,RQI
1346,GCP
1347,ARGO
1348,DLX
1349,GMS
1350,NEE PR Q
1351,HIMS
1352,GTN
1353,CWEN.A
1354,PFS
1355,MTOR
1356,ITCB
1357,PDI
1358,ALG
1359,MFA
1360,PBF
1361,PMT
1362,EURN
1363,EB
1364,HNI
1365,BGS
1366,GVA
1367,SJW
1368,MNR
1369,KN
1370,PAR
1371,BDJ
1372,GAB
1373,GWB
1374,ONTF
1375,RVT
1376,AGTI
1377,TWO
1378,BDXB
1379,AKR
1380,BV
1381,NPO
1382,WFC PR Q
1383,CNR
1384,VLRS
1385,ZUO
1386,OIBR.C
1387,DSL
1388,CYH
1389,JPM PR D
1390,APTV PR A
1391,LNN
1392,GES
1393,BSIG
1394,CPE
1395,CBZ
1396,DK
1397,CBD
1398,BTT
1399,KEN
1400,LGF.B
1401,PRO
1402,MEI
1403,WFC PR Z
1404,FINV
1405,T PR C
1406,SOLN
1407,KRG
1408,DEA
1409,TY
1410,USA
1411,KKR PR C
1412,OUST
1413,MYOV
1414,SPNT
1415,AMRX
1416,ADCT
1417,GEF
1418,DKL
1419,PCGU
1420,EPAC
1421,HNP
1422,CODI
1423,HSC
1424,GNL
1425,HKIB
1426,WSO.B
1427,ASZ
1428,SKT
1429,EVH
1430,NEE PR O
1431,DIN
1432,AMK
1433,NWN
1434,HMN
1435,C PR K
1436,RAAS
1437,ATGE
1438,IRT
1439,PGTI
1440,VAL
1441,YEXT
1442,FDP
1443,PLT
1444,MKC.V
1445,UIS
1446,SCS
1447,STC
1448,GFF
1449,OXM
1450,LTC
1451,TSLX
1452,WLL
1453,TNC
1454,PACK
1455,NFH
1456,EVRI
1457,GBX
1458,COF PR I
1459,PNC PR P
1460,SAND
1461,CIG.C
1462,JPM PR K
1463,ELF
1464,MTRN
1465,CLI
1466,DNMR
1467,IAG
1468,ETG
1469,FRO
1470,KAMN
1471,HYLN
1472,IPOE
1473,USPH
1474,JKS
1475,SWM
1476,FPF
1477,ETV
1478,CVII
1479,FFG
1480,BAC PR B
